region_code,id,full_name,name1,name2,name3
서면-2442,2442,충청남도 서천군 서면,충청남도,서천군,서면
비인면-2441,2441,충청남도 서천군 비인면,충청남도,서천군,비인면
종천면-2440,2440,충청남도 서천군 종천면,충청남도,서천군,종천면
한산면-2435,2435,충청남도 서천군 한산면,충청남도,서천군,한산면
화양면-2433,2433,충청남도 서천군 화양면,충청남도,서천군,화양면
판교면-2439,2439,충청남도 서천군 판교면,충청남도,서천군,판교면
기산면-2434,2434,충청남도 서천군 기산면,충청남도,서천군,기산면
마산면-2436,2436,충청남도 서천군 마산면,충청남도,서천군,마산면
문산면-2438,2438,충청남도 서천군 문산면,충청남도,서천군,문산면
시초면-2437,2437,충청남도 서천군 시초면,충청남도,서천군,시초면
청양읍-2444,2444,충청남도 청양군 청양읍,충청남도,청양군,청양읍
정산면-2447,2447,충청남도 청양군 정산면,충청남도,청양군,정산면
대치면-2446,2446,충청남도 청양군 대치면,충청남도,청양군,대치면
비봉면-2453,2453,충청남도 청양군 비봉면,충청남도,청양군,비봉면
남양면-2451,2451,충청남도 청양군 남양면,충청남도,청양군,남양면
화성면-2452,2452,충청남도 청양군 화성면,충청남도,청양군,화성면
